month,Date,Open,High,Low,Close,Volume,Adj Close,change,percent change
8,01/08/1990,2329.3,2347.9,2051.2,2162.8,0,2162.8,0.928519298,-7.148070236
8,01/08/1989,2292.4,2404.5,2284.5,2387.9,0,2387.9,1.041659396,4.165939627
8,01/08/1988,1861.7,1885.2,1746.8,1753.6,0,1753.6,0.941934791,-5.806520922
8,03/08/1987,2356.1,2356.2,2157.2,2249.7,0,2249.7,0.954840626,-4.515937354
8,01/08/1986,1555,1662,1519.2,1661.2,0,1661.2,1.06829582,6.829581994
8,01/08/1985,1271.7,1341.1,1271,1341.1,0,1341.1,1.054572619,5.457261933
8,01/08/1984,1009.5,1104.6,1006.2,1103.3,0,1103.3,1.092917286,9.291728579
9,01/09/2010,5225.2,5650.3,5225.2,5548.6,860118500,5548.6,1.061892368,6.189236776
9,01/09/2009,4908.9,5190,4776.5,5133.9,1080214200,5133.9,1.045835116,4.583511581
9,01/09/2008,5636.6,5646.5,4671,4902.5,1628366000,4902.5,0.869761913,-13.02380868
9,03/09/2007,6303.3,6512.4,6123.1,6486.4,1877178600,6486.4,1.029048276,2.90482763
9,01/09/2006,5906.1,6002.9,5774.5,5960.8,1593479500,5960.8,1.009261611,0.926161088
9,01/09/2005,5296.9,5508.4,5296.9,5477.7,1553471300,5477.7,1.034133172,3.413317223
9,01/09/2004,4459.3,4630.7,4459.3,4570.8,1713718700,4570.8,1.025003924,2.500392438
9,01/09/2003,4161.1,4329.6,4081.8,4091.3,1938065000,4091.3,0.983225589,-1.677441061
9,02/09/2002,4227.3,4246.4,3609.9,3721.8,0,3721.8,0.880420126,-11.95798737
9,03/09/2001,5345,5379.6,4219.8,4903.4,0,4903.4,0.91738073,-8.261927035
9,01/09/2000,6672.7,6838.6,6075.1,6294.2,0,6294.2,0.943276335,-5.672366508
9,01/09/1999,6251.1,6388.4,5868.4,6029.8,0,6029.8,0.964598231,-3.540176929
9,01/09/1998,5139.5,5399.8,4899.6,5064.4,0,5064.4,0.985387684,-1.461231637
9,01/09/1997,4816.6,5269.2,4795.3,5244.2,0,5244.2,1.088776315,8.877631524
9,02/09/1996,3873.7,3994.1,3835.8,3953.7,0,3953.7,1.02065209,2.065208973
9,01/09/1995,3484.7,3587,3474.6,3508.2,0,3508.2,1.006743766,0.67437656
9,01/09/1994,3243.6,3253.4,2986,3026.3,0,3026.3,0.933006536,-6.699346405
9,01/09/1993,3099.5,3099.5,2975,3037.5,0,3037.5,0.979996774,-2.000322633
9,01/09/1992,2313,2657.3,2282.4,2553,0,2553,1.103761349,10.37613489
9,02/09/1991,2653.9,2683.7,2564.5,2621.7,0,2621.7,0.987866913,-1.213308715
9,03/09/1990,2166.2,2176.7,1974.1,1990.2,0,1990.2,0.918751731,-8.124826886
9,01/09/1989,2392.1,2435.7,2278.3,2299.4,0,2299.4,0.961247439,-3.875256051
9,01/09/1988,1739.5,1830.6,1717.7,1826.5,0,1826.5,1.050014372,5.001437195
9,01/09/1987,2261.6,2376,2238.6,2366,0,2366,1.046162009,4.61620092
9,01/09/1986,1655.3,1694.3,1539.2,1555.8,0,1555.8,0.93989005,-6.010994986
9,02/09/1985,1335.1,1344.7,1269.5,1290,0,1290,0.966219759,-3.378024118
9,03/09/1984,1105.6,1146,1076.9,1139.3,0,1139.3,1.030481187,3.048118669
10,01/10/2010,5548.6,5794.3,5547.5,5675.2,846543400,5675.2,1.022816566,2.281656634
10,01/10/2009,5133.9,5299.6,4955,5044.5,1175992900,5044.5,0.982586338,-1.741366213
10,01/10/2008,4902.5,5052,3665.2,4377.3,1788654400,4377.3,0.892870984,-10.71290158
10,01/10/2007,6466.8,6751.7,6413.4,6721.6,1876738600,6721.6,1.039401249,3.940124946
10,02/10/2006,5960.8,6244.6,5897.3,6129.2,1661140200,6129.2,1.028251241,2.825124144
10,03/10/2005,5477.7,5515,5130.9,5317.3,1739025000,5317.3,0.970717637,-2.928236304
10,01/10/2004,4570.8,4732.9,4551.6,4624.2,1624433400,4624.2,1.011682856,1.168285639
10,01/10/2003,4091.3,4393.8,4091.3,4287.6,1839532000,4287.6,1.04797986,4.79798597
10,01/10/2002,3721.8,4197.5,3663.4,4039.7,0,4039.7,1.085415659,8.541565909
10,01/10/2001,4903.4,5279.8,4730.7,5039.7,0,5039.7,1.027797039,2.779703879
10,02/10/2000,6294.2,6475.8,6017.2,6438.4,0,6438.4,1.022909981,2.290998062
10,01/10/1999,6034.1,6279.3,5798.3,6255.7,0,6255.7,1.036724615,3.67246151
10,01/10/1998,5024.8,5455.2,4599.2,5438.4,0,5438.4,1.082311734,8.23117338
10,01/10/1997,5241.4,5367.3,4382.8,4842.3,0,4842.3,0.923856222,-7.614377838
10,01/10/1996,3954.7,4073.2,3951.9,3979.1,0,3979.1,1.006169874,0.616987382
10,02/10/1995,3510.6,3598,3442.5,3529.1,0,3529.1,1.005269754,0.526975446
10,03/10/1994,3024.3,3151.2,2950.2,3097.4,0,3097.4,1.024170883,2.417088252
10,01/10/1993,3039,3199.2,3026.8,3171,0,3171,1.043435341,4.343534057
10,01/10/1992,2558.4,2681.9,2446.1,2658.3,0,2658.3,1.039047842,3.90478424
10,01/10/1991,2643.4,2649.9,2511.9,2566,0,2566,0.970719528,-2.928047212
10,01/10/1990,2006.3,2283.7,2006.3,2050.3,0,2050.3,1.021930918,2.193091761
10,02/10/1989,2287.6,2331.1,2029.7,2142.6,0,2142.6,0.936614793,-6.33852072
10,03/10/1988,1817.4,1870.8,1788.4,1852.4,0,1852.4,1.019258281,1.925828106
